WIP,REV NO ,BOM_days,정상,준긴급,최소,LT부족,WO미발행,기타,설계(REV),설계문제,설계보류,자재문제,제작지연,품질문제,CN,CS,DSS,HSCS,LTCS,NA,SDSS,SS,TN,DIA,Joint 수,중량,두께,(주)성광테크,부흥,삼성중공업(주)거제,삼성중공업_해)의장1부(내부용),삼성중공업_해)의장2부의장4과(내부용,성일SIM함안공장,칠서피앤에스,피앤엘,납품기준일-WO일,Process day(입고일-WO일)
2,1,153,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,8,31,11,0,0,0,0,0,0,1,0,86,226
2,3,155,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,5,132,9,0,0,0,0,0,0,1,0,86,226
3,1,89,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,6,9,9,0,0,0,0,0,0,1,0,115,154
5,1,121,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,10,16,5,0,0,0,0,0,0,1,0,41,150
5,0,197,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,5,20,6,0,0,0,0,0,0,1,0,41,188
10,3,157,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,5,70,6,0,0,0,0,0,0,1,0,41,178
10,2,67,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,4,11,11,0,0,0,0,0,0,1,0,41,119
10,2,67,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,4,11,11,0,0,0,0,0,0,1,0,41,142
11,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,8,1,75,6,0,0,0,0,0,0,1,0,69,139
16,1,120,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,22,8,0,0,0,0,0,0,1,0,64,159
16,1,92,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,12,33,6,0,0,0,0,0,0,1,0,44,127
16,1,92,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,1,18,6,0,0,0,0,0,0,1,0,44,127
16,1,92,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,6,20,6,0,0,0,0,0,0,1,0,44,127
16,1,92,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,11,18,6,0,0,0,0,0,0,1,0,44,128
1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18,6,735,8,1,0,0,0,0,0,0,0,109,158
2,1,214,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,6,4,50,7,0,0,0,0,0,1,0,0,48,150
17,2,137,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,6,23,6,0,0,0,0,0,0,1,0,98,182
2,3,146,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,5,17,10,0,0,0,0,0,1,0,0,46,200
23,3,90,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,8,29,6,0,0,0,0,0,0,1,0,91,145
23,2,120,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,9,18,11,0,0,0,0,0,0,1,0,81,180
2,2,125,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,4,16,9,1,0,0,0,0,0,0,0,46,194
23,0,98,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,2,26,6,0,0,0,0,0,0,1,0,43,119
23,0,98,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,7,15,6,0,0,0,0,0,0,1,0,43,130
23,2,110,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,5,13,6,0,0,0,0,0,0,1,0,43,139
23,1,110,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,9,5,5,0,0,0,0,0,0,1,0,43,139
