WIP,REV NO ,BOM_days,정상,준긴급,최소,LT부족,WO미발행,기타,설계(REV),설계문제,설계보류,자재문제,제작지연,품질문제,CN,CS,DSS,HSCS,LTCS,NA,SDSS,SS,TN,DIA,Joint 수,중량,두께,(주)성광테크,(주)해성기업,대림기업,부흥,삼성중공업(주)거제,삼성중공업_해)의장1부(내부용),삼성중공업_해)의장2부의장4과(내부용,성일SIM함안공장,칠서피앤에스,피앤엘,납품기준일-WO일,Process day(제작반출일-WO일)
2,1,153,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3.000 ,8,30.785 ,11.13,0,0,0,0,0,0,0,0,1,0,86,210
2,3,155,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4.000 ,5,131.867 ,8.56,0,0,0,0,0,0,0,0,1,0,86,210
3,1,89,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2.000 ,6,9.456 ,8.74,0,0,0,0,0,0,0,0,1,0,115,130
5,1,121,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.000 ,10,15.773 ,4.55,0,0,0,0,0,0,0,0,1,0,41,139
5,0,197,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2.000 ,5,19.864 ,5.54,0,0,0,0,0,0,0,0,1,0,41,179
10,3,157,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4.000 ,5,70.235 ,6.02,0,0,0,0,0,0,0,0,1,0,41,169
10,2,67,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.000 ,4,10.757 ,11.13,0,0,0,0,0,0,0,0,1,0,41,112
10,2,67,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.000 ,4,10.757 ,11.13,0,0,0,0,0,0,0,0,1,0,41,119
11,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,8.000 ,1,74.876 ,6.35,0,0,0,0,0,0,0,0,1,0,69,124
16,1,120,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.000 ,3,22.383 ,7.62,0,0,0,0,0,0,0,0,1,0,64,148
16,1,92,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2.000 ,12,33.455 ,5.54,0,0,0,0,0,0,0,0,1,0,44,104
16,1,92,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2.000 ,1,17.894 ,5.54,0,0,0,0,0,0,0,0,1,0,44,104
16,1,92,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2.000 ,6,20.304 ,5.54,0,0,0,0,0,0,0,0,1,0,44,112
16,1,92,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2.000 ,11,17.703 ,5.54,0,0,0,0,0,0,0,0,1,0,44,111
1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18.000 ,6,734.992 ,7.92,1,0,0,0,0,0,0,0,0,0,109,140
2,1,214,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,6.000 ,4,49.564 ,7.11,0,0,0,0,0,0,0,1,0,0,48,131
17,2,137,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.000 ,6,22.689 ,5.54,0,0,0,0,0,0,0,0,1,0,98,174
2,3,146,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.500 ,5,16.809 ,10.15,0,0,0,0,0,0,0,1,0,0,46,192
23,3,90,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2.000 ,8,28.518 ,5.54,0,0,0,0,0,0,0,0,1,0,91,133
23,2,120,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3.000 ,9,17.713 ,11.13,0,0,0,0,0,0,0,0,1,0,81,158
2,2,125,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.000 ,4,15.568 ,8.74,1,0,0,0,0,0,0,0,0,0,46,186
23,0,98,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2.000 ,2,26.030 ,5.54,0,0,0,0,0,0,0,0,1,0,43,96
23,0,98,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2.000 ,7,15.282 ,5.54,0,0,0,0,0,0,0,0,1,0,43,119
23,2,110,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2.000 ,5,12.626 ,5.54,0,0,0,0,0,0,0,0,1,0,43,131
23,1,110,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1.000 ,9,4.954 ,4.55,0,0,0,0,0,0,0,0,1,0,43,132
25,1,111,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.000 ,8,44.952 ,11.13,0,0,0,0,0,0,0,0,1,0,52,130
25,3,124,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2.000 ,4,21.361 ,5.54,0,0,0,0,0,0,0,0,1,0,45,160
28,1,54,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2.000 ,2,19.572 ,8.74,0,0,0,0,0,0,0,0,1,0,45,165
28,1,113,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4.000 ,5,35.489 ,6.02,0,0,0,0,0,0,0,0,1,0,45,99
28,1,113,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4.000 ,5,48.653 ,6.02,0,0,0,0,0,0,0,0,1,0,45,99
35,3,135,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.000 ,4,55.674 ,7.62,0,0,0,0,0,0,0,0,1,0,43,93
35,1,114,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3.000 ,0,92.220 ,7.62,0,0,0,0,0,0,0,0,1,0,43,99
35,1,114,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1.000 ,5,22.782 ,4.55,0,0,0,0,0,0,0,0,1,0,43,99
35,1,114,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.000 ,0,76.850 ,7.62,0,0,0,0,0,0,0,0,1,0,43,97
4,1,104,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3.000 ,11,69.821 ,11.13,1,0,0,0,0,0,0,0,0,0,50,111
35,2,107,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1.500 ,8,12.253 ,5.54,0,0,0,0,0,0,0,0,1,0,43,153
35,1,109,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2.000 ,9,16.951 ,5.54,0,0,0,0,0,0,0,0,1,0,43,146
4,3,83,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.000 ,5,65.363 ,8.74,1,0,0,0,0,0,0,0,0,0,30,175
38,1,194,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.000 ,4,664.581 ,28.58,0,0,0,0,0,0,0,0,1,0,62,98
38,3,134,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,10.000 ,16,257.521 ,7.8,0,0,0,0,0,0,0,0,1,0,74,149
38,3,140,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.000 ,14,169.744 ,7.04,0,0,0,0,0,0,0,0,1,0,74,161
49,2,113,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10.000 ,5,164.332 ,4.19,0,0,0,0,0,0,0,0,1,0,58,194
1,0,32,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2.000 ,4,15.067 ,5.54,0,0,0,0,0,0,1,0,0,0,58,96
49,1,59,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4.000 ,10,36.448 ,8.56,0,0,0,0,0,0,0,0,1,0,86,137
49,1,112,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2.000 ,8,28.804 ,8.74,0,0,0,0,0,0,0,0,1,0,52,125
49,1,112,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1.000 ,5,4.443 ,4.55,0,0,0,0,0,0,0,0,1,0,52,123
49,1,251,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4.000 ,5,44.670 ,6.02,0,0,0,0,0,0,0,0,1,0,47,94
49,1,53,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1.000 ,10,8.541 ,4.55,0,0,0,0,0,0,0,0,1,0,95,108
49,2,146,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.000 ,10,82.478 ,8.56,0,0,0,0,0,0,0,0,1,0,95,98
49,1,84,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1.000 ,5,11.112 ,4.55,0,0,0,0,0,0,0,0,1,0,44,125
49,3,84,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2.000 ,3,17.877 ,5.54,0,0,0,0,0,0,0,0,1,0,44,109
49,2,83,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.000 ,8,30.130 ,9.09,0,0,0,0,0,0,0,0,1,0,100,121
5,1,17,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1.000 ,6,16.046 ,9.09,1,0,0,0,0,0,0,0,0,0,100,172
49,1,54,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2.000 ,4,21.764 ,5.54,0,0,0,0,0,0,0,0,1,0,100,160
54,1,130,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4.000 ,3,53.657 ,8.56,0,0,0,0,0,0,0,0,1,0,50,112
54,1,45,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.000 ,12,31.747 ,7.62,0,0,0,0,0,0,0,0,1,0,74,108
54,1,45,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.000 ,12,31.705 ,7.62,0,0,0,0,0,0,0,0,1,0,74,108
54,2,110,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.000 ,6,22.642 ,7.62,0,0,0,0,0,0,0,0,1,0,74,136
6,1,241,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4.000 ,5,26.610 ,11.13,1,0,0,0,0,0,0,0,0,0,45,129
5,1,241,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4.000 ,6,34.708 ,11.13,0,0,0,0,0,0,0,1,0,0,45,130
54,1,110,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2.000 ,4,45.139 ,5.54,0,0,0,0,0,0,0,0,1,0,45,142
5,1,110,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4.000 ,8,29.587 ,8.56,0,0,0,0,0,0,0,1,0,0,44,114
5,1,110,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2.000 ,8,16.056 ,8.74,0,0,0,0,0,0,0,1,0,0,44,114
1,0,202,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,16,2,619.734 ,9,0,0,0,0,1,0,0,0,0,0,34,93
55,3,109,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2.000 ,3,9.868 ,8.74,0,0,0,0,0,0,0,0,1,0,43,127
7,1,72,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.000 ,7,14.553 ,6.35,1,0,0,0,0,0,0,0,0,0,55,103
8,0,153,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,20.000 ,2,640.726 ,15.09,0,0,0,0,0,0,0,1,0,0,50,125
63,1,126,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2.000 ,7,16.946 ,5.54,0,0,0,0,0,0,0,0,1,0,50,90
63,2,188,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,18.000 ,4,444.190 ,4.78,0,0,0,0,0,0,0,0,1,0,56,153
8,1,105,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3.000 ,5,19.629 ,11.13,0,0,0,0,0,0,0,1,0,0,43,114
